itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,브랜드
409810,4,KODEX 미국나스닥100선물인버스(H),13590,2,270,2.03,13497.0,4.7993,169223,2294,211,KODEX
385600,2,KINDEX 친환경자동차밸류체인액티브,8405,5,-380,-4.33,8383.0,-8.2507,4720,40,210,KINDEX
329660,7,KODEX TRF5050,11655,5,-5,-0.04,11641.0,0.6908,3790,43,210,KODEX
243880,2,TIGER 200IT레버리지,26090,5,-1690,-6.08,26035.0,-17.4689,12787,334,209,TIGER
385590,2,KINDEX ESG액티브,6300,5,-205,-3.15,6333.0,-9.7155,221,1,208,KINDEX
308620,6,KODEX 미국채10년선물,12165,2,30,0.25,12192.0,5.3842,6889,83,207,KODEX
230480,7,KOSEF 미국달러선물인버스2X,5155,5,-145,-2.74,5134.0,-19.0222,49368,255,205,KOSEF
329670,7,KODEX TRF7030,12640,5,-105,-0.82,12717.0,1.5942,7267,91,202,KODEX
237370,7,KODEX 배당성장채권혼합,11005,5,-45,-0.41,10992.0,-2.8145,4099,44,198,KODEX
388420,2,KBSTAR 비메모리반도체액티브,6500,5,-245,-3.63,6498.0,-16.7284,146770,960,198,KBSTAR
428560,4,KODEX 미국ETF산업Top10 Indxx,10665,5,-115,-1.07,10783.0,3.5542,7487,79,197,KODEX
438320,4,TIGER 차이나항셍테크레버리지(합성 H),7095,5,-340,-4.57,6994.0,,401934,2882,194,TIGER
276650,4,KBSTAR 글로벌4차산업IT(합성 H),16000,5,-120,-0.74,16011.0,-11.3312,2919,46,192,KBSTAR
429000,4,TIGER 미국S&P500배당귀족,10045,5,-55,-0.54,10062.0,4.4359,23129,231,191,TIGER
277540,4,KINDEX 아시아TOP50S&P,11560,5,-90,-0.77,11499.0,-10.8305,509,5,191,KINDEX
265690,4,KINDEX 러시아MSCI(합성),10070,3,0,0.0,522.0,0.0,0,0,186,KINDEX
114100,6,KBSTAR 국고채3년,105850,2,220,0.21,105813.0,-1.1344,407,42,185,KBSTAR
364990,2,TIGER KRX게임K-뉴딜,5675,5,-180,-3.07,5673.0,-19.7946,167521,965,184,TIGER
292160,1,TIGER KRX300,13070,5,-235,-1.77,13109.0,-9.2119,117,1,183,TIGER
271060,5,KODEX 3대농산물선물(H),12950,5,-65,-0.5,12954.0,-2.728,31481,407,183,KODEX
117460,2,KODEX 에너지화학,13375,5,-525,-3.78,13400.0,-11.5495,30399,407,178,KODEX
252000,1,TIGER 200동일가중,9765,5,-135,-1.36,9760.0,-8.7978,17,0,176,TIGER
385710,2,TIMEFOLIO 이노베이션액티브,7010,5,-260,-3.58,7012.0,-9.5209,448,3,175,TIMEFOLIO
426150,6,WOORI 대한민국국고채액티브,47215,5,-130,-0.27,47408.0,-3.4859,2657,125,173,WOORI
360140,2,KODEX 200롱코스닥150숏선물,10615,5,-60,-0.56,10713.0,2.5456,346,3,170,KODEX
168300,1,KTOP 코스피50,19680,5,-555,-2.74,19753.0,-7.9391,821,16,165,KTOP
