번호,제목,생산일,조회수,내용번호
1702,토공사업의 기술능력과 자본금은 어떻게 되나요?,2009-10-22,215,2898471
1701,광역근린공원이란?,2009-10-22,713,2895084
1700,사회단체보조금심의위원회에서는 주로 어떤 내용을 심의하나요,2009-10-22,81,2898093
1699,실내건축공사업의 기술능력과 자본금기준은 어떻게 되나요?,2009-10-22,633,2898470
1698,관광단지란?,2009-10-22,741,2895083
1697,"관개시설, 바닥면정, 계획입지, 녹도, 근린광장, 상대보전 지역, 주택단지, 경관광장, 경관보전지구 용어해설",2009-10-22,463,2895082
1696,과밀억제지역이란?,2009-10-22,1048,2895081
1695,압류말소 없이 소속회사 변경이 가능한지,2009-10-22,245,2895968
1694,사회단체보조금심의위원회의 구성은 어떻게 되나요,2009-10-22,120,2898110
1693,운영비는 어떤걸 말하나요,2009-10-22,305,2898109
1692,사업비는 어떤걸 말하나요,2009-10-22,89,2898108
1691,조합원의 임의탈퇴는,2009-10-22,701,2895227
1690,조합원의 의무는,2009-10-22,484,2895240
1689,새마을금고 정관변경 신고는,2009-10-22,554,2898107
1688,유주택자인 경우 청약자격은 어떻게 되나요?,2009-10-22,400,2898003
1687,공유수면이란?,2009-10-22,448,2897356
1686,건축대지안의 조경을 훼손하면 위반인가요?,2009-10-22,783,2898105
1685,방화구조(防火構造)란 ?,2009-10-22,365,2898104
1684,개축이란?,2009-10-22,1501,2895278
1683,고효율 유도전동기란?,2009-10-22,543,2895277
1682,경관녹지란?,2009-10-22,2677,2895401
1681,공동주택에서 주차장 운영 관련비용을 징수할 수 있는지? 징수할수 있다면 관리비에 포함해 부과할 수 있는지?,2009-10-22,1483,2894910
1680,지하2층 하부에 설치한 물탱크실의 건축물대장 기재방법은?,2009-10-22,1101,2898103
1679,사용자가 관리비를 납부하지 않은 경우 최종적인 납부의무자를 관리규약에 정하지 않았다면 납부의무자는 사용자와 입주자 중 누구입니까?,2009-10-22,1049,2894899
1678,고효율조명기기란?,2009-10-22,814,2895276
1677,건축후퇴선과 보도사이에 경계석을 설치하는데 경계석 구간의 토지는 누구의 소유인지요,2009-10-22,4501,2895259
1676,치과병원의 의료인의 정원은?,2009-10-22,640,2896673
1675,건축선이란?,2009-10-22,1414,2895399
1674,재외동포거소증을 소유한 아파트 소유자가 동별 대표자가 될 수 잇는지?,2009-10-22,659,2897355
1673,의료기관의 세탁물처리시설의 규격은?,2009-10-22,433,2897196
1672,가로 구역별 최고높이 제한 지역이란?,2009-10-22,4624,2896958
1671,공사감리 란?,2009-10-22,5335,2898102
1670,건축사보 란?,2009-10-22,2680,2898119
1669,의료기관 임상검사실의 시설규격은?,2009-10-22,245,2897213
1668,관리비는 분양면적을 기준으로 부과 해도 되는지?,2009-10-22,1210,2897353
1667,미 입주세대 관리비 징수 관련사항?,2009-10-22,304,2897371
1666,주택법상 간선시설이란 무엇인지요?,2009-10-22,1383,2894684
1665,매수청구를 취소하고 싶은데 어떻게하나요?,2009-10-22,311,2895080
1664,역촌동주민자치위원회 구성현황은,2009-10-21,186,2898282
1663,갈현2동에는 통반조직이 어떻게 되나요,2009-10-21,404,2898262
1662,구 역촌1동주민센터 부지 신축건물은 무엇으로 사용되는지요,2009-10-21,246,2898281
1661,조사원들이 자꾸 찾아오는데 무슨 조사인가?,2009-10-21,101,2896178
1660,공공공지와공공용지의차이는 무엇인지,2009-10-21,2987,2898261
1659,불문경고도 소청심사의 대상이 되나요?,2009-10-21,363,2895139
1658,불문경고도 소청심사의 대상이 되나요?,2009-10-21,955,2895150
1657,여행 화장실,2009-10-21,1001,2894658
1656,어린이집이랑 유치원이랑 다른가요?,2009-10-21,1430,2895207
1655,도로의 종류는 어떤것이 있는지,2009-10-21,304,2898260
1654,정신심의위원회는 언제 어디서 열리나요,2009-10-21,135,2896596
1653,공동주택에서 주택성능등급 인정기관의 지정은?,2009-10-21,341,2897370
1652,공동주택에서 주민운동시설 설치기준은?,2009-10-21,6060,2897369
1651,공동주택에서 배기설비등 설치기준은?,2009-10-21,972,2895069
1650,공동주택에서 급배수시설 설치 기준은?,2009-10-21,2279,2897367
1649,디자인서울(문화)거리 조성 기본 및 실시 설계용역에 대해서 궁금합니다.,2009-10-21,457,2895945
1648,공동주택에서 가스공급시설 기준은?,2009-10-21,968,2896012
1647,공동주택에서 지능형 홈네트워크 설비기준은?,2009-10-21,1323,2896011
1646,공동주택에서 수해방지등 기준은?,2009-10-21,1519,2895275
1645,송파구 뉴타운지역중 존치관리구역은 어디입니까?,2009-10-21,872,2897828
1644,위생단속공무원이 위생 지도.점검을 나와 바쁜 영업시간에 영업허가증이나 영업신고증 외 출입검사기록부까지 요구할 권한이 있는지요 ?,2009-10-21,1493,2897600
1643,성동교관련 불편사항은 성동구청으로 신고하면 되나요?,2009-10-21,650,2896481
1642,직영 도로보수원은 몇명입니까?,2009-10-21,235,2894563
1641,조합설립 동의서에 포함될 내용은 ?,2009-10-21,462,2894095
1640,"오수,폐기물등의 무단투기 신고는?",2009-10-21,370,2896629
1639,공동주택의 주차장 부지구입을 입주자대표회의 의결로 결정할 수 있는지와 부지구입을 반대하는 입주민의 의견을 무시한 채 입주자대표회의에서 토지를 매...,2009-10-21,516,2894909
1638,종전의 토지 또는 건축물의 가격은 산정방법은 ?,2009-10-21,481,2894096
1637,노무후생팀의 업무는?,2009-10-21,790,2895149
1636,주택근저당권 말소 신청시 필요한 수수료 송금 가능합니까?,2009-10-21,166,2896719
1635,아파트 관리비 고지서에 도시가스 요금을 부과할 수 있는지?,2009-10-21,995,2897150
1634,주택근저당권 말소신청서 작성 후 팩스로 송부가능한가요?,2009-10-21,343,2896718
1633,주택근저당말소 시 담보가 추가되어 있을 경우 수수료는 어떻게 되나요?,2009-10-21,453,2896717
1632,"위험절개지,축대등의 붕괴 위험이 있습니다",2009-10-21,212,2898116
1631,주택근저당권 말소 시 필요한 수수료는 무엇입니까?,2009-10-21,503,2896716
1630,주택근저당권 말소신청서는 어디에 있습니까?,2009-10-21,591,2896715
1629,분양지 명의변경시 필요한 구비서류 중 명의변경승인통지서를 분실했을 경우 어떻게 하나요?,2009-10-21,886,2896714
1628,송파구 마천1~2동(AID차관) 주택근저당권 말소업무는 누가 담당합니까?,2009-10-21,249,2896713
1627,송파구 가락우성아파트 주택근저당권 말소 업무는 어느부서에서 담당합니까?,2009-10-21,967,2896712
1626,이그나이터를 정의해주세요,2009-10-21,306,2894567
1625,분양지 명의변경(매매)시 필요한 구비서류는 무엇입니까?,2009-10-21,1391,2896711
1624,도시관리계획 수립시 목표년도는 ?,2009-10-21,410,2896071
1623,송파구립청소년교향악단 문의,2009-10-21,1355,2896293
1622,다운라이트가 뭐죠,2009-10-21,177,2896710
1621,LED 전압 이 뭐죠,2009-10-21,181,2896778
1620,분양지 명의변경(상속)시 필요한 구비서류는 무엇입니까?,2009-10-21,1085,2896777
1619,송파구립민속예술단 문의,2009-10-21,734,2896408
1618,송파구립실버악단,2009-10-21,814,2896295
1617,분양지 명의변경(증여)시 필요한 서류는 무엇입니까?,2009-10-21,2074,2896776
1616,신내동에 상징조형물을 설치한다고 하던데 어디에 하게 되는 건가요?,2009-10-21,293,2896252
1615,중고 엑스레이장비를 사용할때도 신고를 하나요?,2009-10-21,1393,2896147
1614,&amp;amp;amp;amp;apos;Clean-1 서비스&amp;amp;amp;amp;apos; 모니터링은 어떻게 진행되나요?,2009-10-21,442,2897421
1613,"한 촬영실에 2대의 엑스레이기계를 설치,사용할수 있는지요?",2009-10-21,328,2896146
1612,소화기 사용요령과 관리요령?,2009-10-21,1178,2896300
1611,'아름다운 디자인중랑 공모전' 수상작품을 어디서 볼 수 있을까요?,2009-10-21,454,2894546
1610,골밀도측정기도 사용전 신고를 하나요?(골다공증),2009-10-21,455,2896145
1609,보육교사 자격 취득을 위한 보육실습 기준,2009-10-21,629,2896213
1608,수림대공원 찾아오는 길안내?,2009-10-20,1776,2895532
1607,바닥면적이란?,2009-10-20,1643,2894629
1606,건축면적이란?,2009-10-20,2941,2894636
1605,주택성능등급의 표시대상 범위는 ?,2009-10-20,313,2894637
1604,도시기반시설(광장)의 세분?,2009-10-20,933,2895119
1603,공무원이 친구의 모친 회갑연에 10만원상당 화환을 보낼수 있습니까?,2009-10-20,302,2897584
1602,개별보상의 원칙이란?,2009-10-20,376,2895944
1601,공동주택 단지내 주민공동시설(독서실 등)을 개인이 독서실로 등록하여 사용료를 받고 운영할 수 있는지?,2009-10-20,1034,2897582
1600,연산군묘에 대해서 자세히 알고싶습니다.,2009-10-20,482,2897847
1599,금품 제공자 확인이 불가능할 경우 자세한 처리절차는?,2009-10-20,85,2897581
1598,주택등 건축물에 분양받을 권리산정 기준일은 ?,2009-10-20,1323,2894097
1597,자가품질검사 및 수입통관검사를 의뢰하고자 할 경우 어디로 하여야 하는지요?,2009-10-20,475,2897598
1596,재해경보의 종류는?,2009-10-20,966,2897733
1595,시민감사청구대상은 ?,2009-10-20,269,2895239
1594,약국에서마약을사용하고싶은데어떻게하면됩니까?,2009-10-20,962,2895348
1593,"집단,농성 민원이란 ?",2009-10-20,432,2895148
1592,조합의 등기사항은 ?,2009-10-20,355,2894108
1591,"무주택(증명서, 세대주 기간)관련 증명과 발급?",2009-10-20,20129,2894868
1590,주민대표회의 구성원 몇명입니까?,2009-10-20,152,2896070
1589,조합원의 수가 몇 명이상인 경우에 대의원회를 둘수 있습니까?,2009-10-20,99,2896069
1588,토지등소유자가 100명이상인 경우 조합이사의 수는 ?,2009-10-20,105,2896068
1587,중랑구의 랜드마크 조형물은?,2009-10-20,601,2896251
1586,조합 법인등기 등재시 기재사항은 ?,2009-10-20,170,2896067
1585,전시시동원이란,2009-10-20,275,2895530
1584,조합 법인등기는 어디에서 합니까?,2009-10-20,124,2896066
1583,조합등기는 언제합니까?,2009-10-20,96,2896065
1582,조합은 법인등기합니까?,2009-10-20,1063,2896063
1581,추진위원의 업무는 ?,2009-10-20,469,2894099
1580,인터넷 사용자가 늘어나면서 인터넷 해킹이 증가하고 있는데 왜 해킹을 하는 건가요?,2009-10-20,173,2895582
1579,참여구정 연구모임(창의지원그룹)에 대한 자료가 있습니까?,2009-10-20,136,2898396
1578,분쟁조정위원회 신청절차와 어떤 경우에 분쟁조정신청을 할 수 있는 지요?,2009-10-20,294,2897579
1577,악성코드와 바이러스의 차이점을 알고 싶어요.,2009-10-20,1812,2895587
1576,창의를 활성화 시키기 위한 제도가 있나요?,2009-10-20,86,2898395
1575,컴퓨터 상에서 바이러스란 뭔가요?,2009-10-20,225,2895586
1574,동별대표자 관리비 면제는?,2009-10-20,331,2897366
1573,공동주택 진입도로 설치기준은?,2009-10-20,3847,2894635
1572,공무원법상 성실의 의무는 근무시간 외에도 적용되나요?,2009-10-20,243,2895147
1571,공동주택 난간 기준은?,2009-10-20,14884,2894630
1570,공동주택 복도의 기준은?,2009-10-20,6234,2894634
1569,골목호랑이어르신이 하는일이 궁금해요!,2009-10-20,301,2896634
1568,이재민 수용시설은 있나요?,2009-10-20,305,2897732
1567,간선도로란 어떤 도로인가요?,2009-10-20,11218,2897683
1566,기존 놀이시설 안전 관리 및 설치 검사,2009-10-20,179,2898564
1565,사회단체보조금지원사업의 유형중 기타 공익사업의 세부사업은?,2009-10-20,89,2898113
1564,사회단체보조금지원사업중 지역경제 활성화사업의 세부사업은?,2009-10-20,152,2898112
1563,"사회단체보조금지원사업중 문화, 체육진흥사업의 세부사업은?",2009-10-20,159,2898111
1562,사회단체보조금 지원사업중 교통. 안전문화구축사업의 세부사업은?,2009-10-20,71,2898092
1561,사회단체보조금지원사업중 보훈 및 안보의식 고취사업의 세부사업은?,2009-10-20,100,2898091
1560,사회단체보조금 지원사업중 함께 나누는 공동체사업의 세부사업 유형은?,2009-10-20,78,2898090
1559,"사회단체보조금지원사업의 유형중 아동, 청소년 보호육성사업의 세부사업은?",2009-10-20,86,2898089
1558,사회단체보조금 지원사업의 유형중 깨끗한 환경도시 건설사업의 세부사업은?,2009-10-20,133,2898088
1557,사회단체보조금 지원사업의 유형중 기초질서 지키기 정착사업의 유형은?,2009-10-20,78,2898087
1556,창4동 주민자치위원은 몇명입니까?,2009-10-20,333,2896389
1555,아파트 입주자 등 과반수의 동의를 얻어 개정된 관리규약에 개정시기가 명기되지 않은 경우 효력은,2009-10-20,894,2896144
1554,인터넷전화(IPT)시스템 개통일은 언제인가요?,2009-10-19,123,2895585
1553,상속등기를 위하여 필요한 사망한 등기명의인의 등록사항별 증명서(‘제적등본’ 포함) 및 상속인의 등록사항별 증명서의 발급에 대한 질의,2009-10-19,4352,2896367
1552,공사가 진행중에 변경된 건축주가 시공자를 교체할 수 있는지 여부?,2009-10-19,418,2895118
1551,상봉8재정비촉진구역,2009-10-19,379,2896062
1550,조합창립총회 의사결정 요건은?,2009-10-19,345,2894107
1549,문화의집 수강료 반환은 어떻게 하나요?,2009-10-19,208,2896771
1548,조합설립총회에서 결정할 업무는 ?,2009-10-19,195,2894100
1547,안전복지서비스의개념,2009-10-19,468,2895655
1546,면직이 최소되면 공무원의 보수는 어떻게 주나요?,2009-10-19,105,2896670
1545,직위해제중의 보수는 얼마를 주나요?,2009-10-19,87,2896669
1544,공무원 보수 계산은 월단위인가요?,2009-10-19,339,2896668
1543,정비사업의 사업시행계획서에 포함될 사항은?,2009-10-19,543,2894106
1542,도시.주거환경정비기본계획의 수립은 누가 몇년마다 수립하여야 하나요?,2009-10-19,241,2896112
1541,조합임원의 구성은 ?,2009-10-19,269,2894105
1540,조합 대의원회의 구성은 ?,2009-10-19,204,2894104
1539,특수의료장비 등록증명서 원본은 어디에쓰이나요?,2009-10-19,216,2895592
1538,조합총회 개최 요건은?,2009-10-19,642,2894103
1537,조합원의 자격은 ?,2009-10-19,423,2894102
1536,"휴직기간, 정직기간, 직위해제기간은 재직기간에 포함되나요?",2009-10-19,1771,2895146
1535,시공자 선정시기는,2009-10-19,126,2897712
1534,개발행위(형질변경행위) 심의 대상?,2009-10-19,2259,2895117
1533,수색9구역 대의원 수는,2009-10-19,178,2897711
1532,개발행위 허가 규모?,2009-10-19,980,2895116
1531,전자교통신호제어기 보수는 어디서 하나요,2009-10-19,361,2898086
1530,공가란?,2009-10-19,2702,2895145
1529,주차구획선(노상주차선) 내 주차할 수 있는 차량 범위는?,2009-10-19,1400,2894134
1528,수강료는 어떻게 쓰여지는지 궁금합니다.,2009-10-19,265,2895308
1527,한우리정보문화센터에 관해서 알고 싶습니다,2009-10-19,425,2895013
1526,공동주택 단지안에 국유지가 포함되어 있는 경우 사업계획승인이 가능한지,2009-10-19,718,2896143
1525,무허가건물 수용에 따른 건물주 임대아파트 공급규정은?,2009-10-19,310,2898310
1524,기반시설의 종류중 환경기초시설이란?,2009-10-19,2674,2895115
1523,상봉재정비촉진지구 사업완료시기는?,2009-10-19,271,2894893
1522,공무원이 직무상 자동차를 운전하다 교통사고를 일으켜 타인에게 손해를 입힌 경우?,2009-10-19,903,2895144
1521,공무원이 공무집행사의 위법행위로 인하여 타인에게 손해를 입힌 경우?,2009-10-19,94,2895161
1520,공무원의 행위가 공무원으로서의 책임외에 일반 법익을 침해하는 경우?,2009-10-19,81,2895160
1519,국가재산상에 손해를 끼쳤을 경우?,2009-10-19,181,2895159
1518,직무의 내외를 불문하고 그 체면 또는 위신을 손상하는 행위를 한 경우는?,2009-10-19,256,2895158
1517,강임이란?,2009-10-19,291,2895157
1516,직무상의 의무에 위반하거나 직무를 태만히 한 경우는?,2009-10-19,250,2895156
1515,공무원의 책임중 행정상 책임은?,2009-10-19,171,2895155
1514,부단테장이 사고일경우 법정 직무대리는?,2009-10-19,123,2895154
1513,단체장이 사고일경우 법정직무대리는?,2009-10-19,132,2895153
1512,공무원의 책임은?,2009-10-19,211,2895203
1511,영리기업에의 취업제한 대상은?,2009-10-19,79,2895201
1510,공무원은 재직중 또는 퇴직후에도 직무상 알게된 비밀을 엄수해야 하나요?,2009-10-19,215,2895199
1509,대우공무원의 견책 경과기간은?,2009-10-19,164,2896211
1508,소속상관의 허가 또는 정당한 이유없이 직장을 이탈할 수 있나요?,2009-10-19,227,2895198
1507,대우공무원의 감봉 경과기간은?,2009-10-19,135,2896210
1506,공무원은 소속 상관의 직무상의 명령에 복종해야 합니까?,2009-10-19,485,2895197
1505,대우공무원의 정직 경과기간은 ?,2009-10-19,438,2896209
1504,용적률이란?,2009-10-19,1288,2898085
1503,모든 공무원은 담당직무를 수행함에 있어서 법령을 준수하여야 합니까?,2009-10-19,121,2895196
1502,공무원의 직무상 의무는?,2009-10-19,2398,2895170
1501,출장검진관련 법은?,2009-10-19,698,2898084
1500,양성평등채용목표제의 근거는?,2009-10-19,223,2896667
1499,"정당, 정치단체 결성에 관여할수 있나요?",2009-10-19,112,2895169
1498,기업체 사외이사 겸직허용이 가능한가요?,2009-10-19,124,2895167
1497,공무원이 공동주택의 입주자 대표회의의 대표직을 맡고자 할 경우 사전에 소속기관장의 겸직허가를 받아야 하나요?,2009-10-19,400,2895166
1496,야간 대리운전은 영리업무인가요?,2009-10-19,795,2895165
1495,복무규정 제10조에서 정한 영리업무에 해당하지 않는 직무로서 직무수행에 지장이 없는 경우 겸직이 가능한가요?,2009-10-19,119,2895164
1494,재산등록 신고유예란?,2009-10-19,1365,2894717
1493,재건축정비사업구역의 세입자 대책은 어떻게 되나요?,2009-10-19,1344,2898083
1492,다른 직무를 겸직 할 수 있나요?,2009-10-19,92,2895163
1491,민간건설임대주택의 경우 임대사업자 등록을 반드시 하여야 하는 지 여부 및 등록 시점,2009-10-19,3115,2896142
1490,재산등록 결과 처리는?,2009-10-19,435,2894818
1489,공직자 윤리위원회 관할은?,2009-10-19,706,2894718
1488,직무와 관련있는 기업에 투자하는것이 가능합니까?,2009-10-19,78,2895162
1487,"영리를 목적으로 하는 사기업체의 이사, 감사, 무한책임사원, 지배인, 발기인 기타 임원이 될 수 있읍니까?",2009-10-19,484,2895143
1486,영리업무 종사가 가능합니까?,2009-10-19,256,2895142
1485,직무내외를 불문하고 품위유지의 의무가 있나요?,2009-10-19,359,2895141
1484,외국정부로부터 영예 또는 증여를 받을 경우 허가를 받아야 합니까?,2009-10-19,537,2895140
1483,건축후퇴선내 시설물 관리는 어디서 하나요?,2009-10-19,526,2898082
1482,간선도로에 설치된 시선유도봉 관리는 어디서 하나요,2009-10-19,511,2898081
1481,문제행동조기개입서비스 바우처카드 배송상태는 어디서 확인가능하나요?,2009-10-19,395,2896061
1480,'경복궁 쌀'이란?,2009-10-18,2702,2895725
1479,준불연재료라 함은 ?,2009-10-18,1011,2896180
1478,평가인증 관찰자 교육을 받으려면 어떻게 해야 하나요?,2009-10-17,4535,2895798
1477,보육교사 자격 검정과 관련하여 2001년에 대학 졸업하고 보육교사 이수증이 있는데 자격증으로 바꿀려고 합니다. 보육실습확인서를 받으려고 하니 실습한 어린이집이 폐원하였습니다. 어떻게 해야 하나요?,2009-10-17,1461,2897877
1476,영유아보육법 개정전에 자격인정을 받은 보육교사 및 보육시설장은 어떤 기준으로 자격검정이 이루어집니까?,2009-10-17,1623,2897876
1475,장애아보육환경개선을 위한 장비비 지원 기준은 ?,2009-10-17,337,2897871
1474,관리처분계획을 수립하여 총회의 의결 및 공람을 완료한 후에 관할구청에 인가를 신청하였으나 특정사유로 그 기준 및 정관의 규정에 의하여 최초 공람한 관리처분계획 내용의 변경이 불가피한 경우 다시 공람을 하여야 하는지 여부,2009-10-17,522,2894572
1473,촉진지구내 촉진구역(재개발사업)의 세입자는 주거이전비 지급받기 위한 요건?,2009-10-17,523,2895020
1472,제가 소유하고 있는 토지의 도시계획에 대한 내용을 어떻게 확인할 수 있습니까?,2009-10-17,436,2896111
1471,보육시설의 규모와 기준은 어떻게 되나요?,2009-10-17,585,2898446
1470,토지형질변경허가를 받고 싶은데,2009-10-17,450,2896060
1469,미관지구에 집을 지을 때 규제되는게 있나요,2009-10-17,1884,2896059
1468,행정정보연계 문서가 안 넘어 올 경우 어떻게 해야 하나요 ?,2009-10-17,244,2894702
1467,은평구 전산정보과에서는 사무용품을 어떻게 구매하시나요?,2009-10-16,151,2896770
1466,중랑구보건소 홈페이지를 통한 온라인서비스에는 어떤 것들이 있나요?,2009-10-16,1573,2895542
1465,"접수문서 선람 중 담당자가 잘못 지정되었다거나 결재자(팀장, 과장님 등)선에서 반려 된 경우",2009-10-16,2670,2895814
1464,문서보안시스템(DRM) 재설치하면 해결되는 사례들,2009-10-16,252,2895813
1463,건축물에너지절약 설계기준 적용대상은?,2009-10-16,1879,2897019
1462,자유총연맹 서대문구지회의 대표자 및 전화번호는?,2009-10-16,266,2897352
1461,바르게살기운동 서대문구협의회의 대표자 및 전화번호는?,2009-10-16,334,2897351
1460,새마을운동 서대문구지회의 대표자 및 전화번호는?,2009-10-16,718,2897350
1459,새마을 장학금 지급의 종류는?,2009-10-16,85,2898080
1458,서대문구 재향경우회의 대표자 및 전화번호는?,2009-10-16,234,2897348
1457,바르게살기운동협의회의 사회단체보조금 지원근거는?,2009-10-16,178,2898079
1456,공유지분을 소유한 경우에도 분양대상이 되나요?,2009-10-16,3492,2896009
1455,새마을운동조직의 지원근거법령은?,2009-10-16,207,2898078
1454,2 이상의 토지나 건축물이 있는 경우 매매를 할 경우 별도의 분양대상이 되는지요?,2009-10-16,359,2898469
1453,은평구에서의 사회단체보조금 지원대상 사업은?,2009-10-16,150,2898077
1452,2 이상의 주택을 가지고 있는 경우 아파트 분양대상은 몇 개인가요?,2009-10-16,392,2898468
1451,무허가건물을 가지고 있습니다. 분양대상자에 해당 되는지요?,2009-10-16,459,2896181
1450,상가소유자가 아파트를 배정받을 수 있습니까?,2009-10-16,537,2895045
1449,제가 가지고 있는 토지는 건물이 없는 나대지입니다. 분양대상자에 해당 되는지요?,2009-10-16,620,2896008
1448,은평구청은 사회단체보조금 심의위원회를 몇명으로 구성하였습니까?,2009-10-16,165,2898076
1447,사회단체보조금지원심의위원회 위원의 임명.위촉은 누가 하나요?,2009-10-16,140,2898074
1446,사회단체보조금 지원에 따른 심의위원회의 구성은?,2009-10-16,202,2898073
1445,사회단체보조금심의위원의 임기는?,2009-10-16,161,2898072
1444,은평구청은 어디와 1사1촌을 맺었습니까?,2009-10-16,111,2898071
1443,제가 가지고 있는 토지는 지목상 도로입니다. 이런 경우에도 분양대상자에 해당 되는지요?,2009-10-16,998,2895046
1442,미관지구내 건축선 후퇴 거리는?,2009-10-16,9809,2895055
1441,조합원이 되면 모두 아파트를 분양받을 수 있는 겁니까?,2009-10-16,312,2898467
1440,상봉8재정비촉진구역 FAQ,2009-10-16,137,2896058
1439,새마을운동협의회에서 금년 추진하는 사업은?,2009-10-16,397,2897330
1438,가로기 게양은 구체적으로 언제 하고 있나요?,2009-10-16,674,2897329
1437,이니셔티브란?,2009-10-16,10,25466704
1436,서대문구에서는 목표관리제를 시행하고 있나요?,2009-10-16,142,2895966
1435,광업제조업조사는 언제부터 실시하였나요?,2009-10-16,105,2895943
1434,광업제조업조사는 법적근거가 있나요?,2009-10-16,107,2895942
1433,임대보증금 보증이란?,2009-10-16,3946,2895047
1432,조합주택 시공보증서의 용도는?,2009-10-16,4244,2897328
1431,창의마일리지는 무엇인가요?,2009-10-16,227,2895964
1430,상상릴레이 시스템은 별도의 로그인 과정이 필요한가요?,2009-10-16,156,2895963
1429,재정비촉진지구내에서는 모든 건축물을 다 철거하고 개발을 합니까?,2009-10-16,398,2897682
1428,재정비촉진지구와 뉴타운지구의 다른 점은 무엇입니까?,2009-10-16,290,2896021
1427,성내천 문파표출용 전광판의 정확한 설치 장소는 어디입니까?,2009-10-16,219,2897577
1426,성내천에 있는 문자표출용 전광판은 언제 설치되었습니까?,2009-10-16,230,2897576
1425,거여역의 문자표출용 전광판의 설치는 언제 되었습니까?,2009-10-16,144,2897575
1424,서대문구에 창의과제관리시스템이 있나요?,2009-10-16,163,2895836
1423,주택임대보증이란?,2009-10-16,1071,2897326
1422,서대문구 지식관리시스템 이름이 뭔가요?,2009-10-16,189,2897281
1421,거여역의 문자표출용 전광판의 규모는 어떻게 됩니까?,2009-10-16,123,2897574
1420,성내천에 있는활정보안내파 이는 문자표출용 전광판의 규모는 어떻게 됩니까?,2009-10-16,230,2897573
1419,분쟁조정 위원장은 누구인가요?,2009-10-16,163,2897325
1418,잠실사거리 교통섬에 이는 문자표출용 전광판은 언제 설치되었습니까?,2009-10-16,193,2897572
1417,창의혁신시스템 상상릴레이는 무슨 의미인가요?,2009-10-16,161,2895962
1416,잠실사거리 교통섬에 이는 문자표출용 전광판의 규모는 어떻게 됩니까?,2009-10-16,231,2897571
1415,상상릴레이가 무슨 시스템이죠?,2009-10-16,181,2895961
1414,분쟁조정위원회는 언제 생겼나요?,2009-10-16,221,2897324
1413,관리규약 개정절차는?,2009-10-16,1610,2897323
1412,주거이전비 (세입자 대책),2009-10-15,2592,2896769
1411,시립중계노인전문요양원 사업개요,2009-10-15,4652,2897681
1410,[노원구]해외유학관련 상담할 수 있는 곳이 있나요?,2009-10-15,354,2897194
1409,서울형안심자판기란 무엇인가요?,2009-10-15,394,2898257
1408,적조가 발생할 경우 어떻게 해야 하나요?,2009-10-15,382,2896057
1407,구청 독후감경진대회에 구민도 참여가 가능한가요?,2009-10-15,165,2897344
1406,"사회단체보조금심의위원회에서 지원단체 선정시, 선정기준에는 어떤것이 있나요?",2009-10-15,334,2897144
1405,열대야 극복 방법은?,2009-10-15,345,2896056
1404,"사회단체보조금 신청시 다른 부처나 시,도에 중복 제출이 가능한가요?",2009-10-15,202,2897143
1403,지진해일 주의보는 무엇입니까?,2009-10-15,377,2896049
1402,홍제3구역 도시환경정비사업 추진현황,2009-10-15,7111,2897680
1401,주택(아파트포함)과 상업시설물(상가)을 각각 1개씩 소유하고 있는데 상가와 주택을 각각 1개씩 분양권을 받을 수 있나요?,2009-10-15,5795,2896020
1400,주택 소유자에게 미리 이주비를 지급할 수 있는 지?,2009-10-15,750,2896019
1399,열경련이란?,2009-10-15,611,2896064
1398,수색.증산뉴타운 공람공고일은 언제인가요?,2009-10-15,447,2894551
1397,정부기관에 부 당한 점이 있을때는 어디로 신고하나요,2009-10-15,381,2895849
1396,보상금을 지급받은 경우 재평가가 가능한지요?,2009-10-15,310,2896768
1395,사업조정제도란 ?,2009-10-15,1794,2895226
1394,어린이집에서 방학을 할 수 있나요?,2009-10-15,1636,2897419
1393,분전함에 상징 도안을 넣고 싶은데 가능한가요?,2009-10-15,272,2895734
1392,국민신문고는 무엇인가요?,2009-10-15,1707,2896345
1391,관리처분계획의 경미한 변경이란?,2009-10-15,2186,2896018
1390,도시계획시설(도로) 사업 보상시기는 언제인가요?,2009-10-15,693,2895468
1389,조합의 정관을 변경하고자 할때는?,2009-10-15,463,2896017
1388,주택법 제9조의 규정에 의하여 등록한 주택건설사업자는 임대대상 주택 없이 임대사업자 등록이 가능한지 여부,2009-10-15,1252,2896133
1387,자치관리시 관리소장 해임에 관한 문의,2009-10-15,1219,2897342
1386,아파트내 알뜰시장 등 임대료를 누가 관리하는지?,2009-10-15,442,2897341
1385,토지 등 소유자가 행방불명일 경우 사업시행인가 신청시 동의자수로 간주할 수 있는지,2009-10-15,1270,2898493
1384,영업손실보상금에 권리금도 포함되나요?,2009-10-15,1564,2896767
1383,식품제조가공시 제조연월일은 어느 시점을 의미하나요?,2009-10-15,484,2898271
1382,임대주택분양전환신고란?,2009-10-15,346,2897340
1381,부기등기 이후 제한물권 설정의 효력은?,2009-10-15,823,2896016
1380,입주자대표회의가 하자 판정을 의뢰하고 그 비용을 장충금으로 지불할 수 있는지?,2009-10-15,151,2897339
1379,"관리비등은 금융기관에 예치하여야 하는데.우체국, 농협 등에 예치가 가능한지?",2009-10-15,530,2897338
1378,임차인대표회의 동대표 선출방법,2009-10-14,1023,2897337
